company_name,job_description,position_title,description_length,model_response
Talent Search PRO,"job description
essential functions
contribute to requirements analysis design code and unit test integration and test requirements sell off and operations and maintenance of embedded software systems
ensure that productsprojects delivered meet customer requirements and specifications
drive process improvements to aid in team coordination and maintain delivery schedule
communicate with leadership on status issues milestones and successes
qualifications
bachelors degree in computer science electrical engineering or similar filed and  years experience or  years experience with a masters degree
prior experience with embedded software engineering with c and real time operating systems experience
preferred additional skills
active secret clearance
electronic warfare background
capable of working on both high and low level software
vxworks or similar embedded os experience
uml design experience
skills and certifications 
c
rtos
secret security clearance
vxworks
security clearance required yes
visa candidate considered no
candidate details
 to  years experience
seniority level  associate
management experience required  no
minimum education  bachelors degree
willingness to travel  never
screening questions
do you have at least  years of software development experience
do you have experience with c
do you have an active secret clearance or higher
do you have a bachelors degree in computer science or engineering
ideal candidate
software engineer with a secret clearance and  or more years of experience with embedded software development with a defense contractor
candidate must have verification

do you have at least  years of software development experience
do you have experience with c
do you have a bachelors degree in computer science or engineering
do you have an active secret clearance or higher","Specialist, Embedded C++ Software Engineer",1819," {
  ""Core Responsibilities"": ""Contribute to requirements analysis design code and unit test integration and test requirements sell off and operations and maintenance of embedded software systems. Ensure that products/projects delivered meet customer requirements and specifications. Drive process improvements to aid in team coordination and maintain delivery schedule. Communicate with leadership on status issues milestones and successes."",
  ""Required Skills"": ""Bachelor's degree in computer science, electrical engineering, or similar field. Prior experience with embedded software engineering with C and real time operating systems."", 
  ""Educational Requirements"": ""Bachelor's degree in computer science, electrical engineering, or similar field."",
  ""Experience Level"": ""3-5 years"",
  ""Preferred Qualifications"": ""Active secret clearance. Electronic warfare background. Capable of working on both high and low level software. VxWorks or similar embedded OS experience. UML design experience."",
  ""Compensation and Benefits"": ""N/A""
}"
Forward Air,"job description
something huge something to celebrate largest rate increase in forward air history we are proud to announce that a permile rate increase has been approved marking the fourth rate increase in the last four years at forward air this is also the largest centpermile increase forward air has ever done and we are thrilled to share this milestone with our drivers  past present and future at forward air youre more than a number success is a team effort and without our independent contracts fleet owners and fleet drivers it would not be possible not only is forward growing internally but we are also invested in growing your business with us rate per mile includes  for optional haz endorsement and  for new truck program forward air is committed to continuing to attract and retain the best independent contracts fleet owners and drivers for our fleet owners in the industry sign on bonuses
paid out in the first year
solo 
team 
referral bonuses

solo 
team  past present  future earn more when you drive forward

apply online below or call one of the following numbers
  ltl  company driversowner operators
  tls team owner operators
  powerseat  independent contractorsubcontractor fleet drivers",Owner Operators Just Announced: Largest rate increase in Forward...,1213," {
  ""Core Responsibilities"": ""Driving trucks to deliver freight for Forward Air. Responsibilities likely involve safely operating a truck, adhering to driving regulations, completing paperwork and inspections, following delivery schedules, and providing excellent customer service."",
  ""Required Skills"": ""Valid commercial driver's license (CDL), clean driving record, ability to pass DOT inspections and drug screenings, proficiency in operating tractor trailers, strong communication and customer service skills."",
  ""Educational Requirements"": ""N/A"", 
  ""Experience Level"": ""N/A"",
  ""Preferred Qualifications"": ""Hazmat endorsement, experience driving for a freight or transportation company."",
  ""Compensation and Benefits"": ""Up to $.52 per mile depending on experience and truck ownership. $5,000 sign-on bonus for solo drivers and $10,000 for team drivers. Referral bonuses up to $1,000 for referring other drivers.""
}"
Red Robin,"red robin is taking extra measures to keep our team members safe during this time

we have enhanced our cleaning and disinfectant standards our restaurants are extra squeaky clean practice social distancing every shift every role and require team members to wear face masks

our health policy ensures that team members can take the time they need to be well

we are ramping up opening our dining rooms and are staying plenty busy with togo and catering

apply today to join our team to help guests build everlasting memories around their tables and ours

hostshostesses

red robin isnt your typical burger restaurant were a team filled with unbridled energy magnetic personalities and a passion for having fun

we also have a passion for developing our team members did you know over  of our managers were team members at one time many of these individuals are now general managers regional directors and corporate leaders

hiring immediately

hostshostesses

it is your friendly demeanor our guest sees first make it a lasting impression this restaurant front of house job for hospo  hospitality team members will focus on guest seating greeting or reception  reservation duties in which you will be expected to provide great customer service

redrobin rrgb is a wellestablished highvolume fullservice restaurant concept that has growth opportunities for team members in a fullservice casual dining restaurant company grow your career with red robin gourmet burgers and brews

as a team member at red robin youll enjoy
 flexible work schedules
 a great place to work and make friends
 referral bonuses for bringing new members to our team
 eligible for k retirement plan if qualified
  discount on red robin food and  for your family
 awesome discounts on great things like computers cell phone plans event tickets concerts sports events etc  more
 fun and free events for our trainers
 not required to purchase uniform  appropriate black shirt and dark jeans are all you need
 closed on thanksgiving and christmas

our mission is clear make it fresh make it fun make it memorable and above all make em smile become a part of our team today

red robin independent franchisees each hire their own employees and establish their own terms and conditions of employment which may differ from those described

red robin is an equal opportunity  everify employer",Hosts / Hostesses,2356," {
  ""Core Responsibilities"": ""Greet guests, seat guests, handle reservations."",
  ""Required Skills"": ""Friendly demeanor, great customer service skills"",
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""N/A"", 
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""K retirement plan if qualified, discount on Red Robin food, discounts on various products and services.""
}"
SYNERGY HomeCare of Clifton-Secaucus,"are you a compassionate caregiver that can drive with the dedication and professionalism it takes to work for our agency do you want to feel appreciated and rewarded for the demanding work that you do synergy homecare is a nonskilled agency and our mission is to enable our clients to live happy healthy and independent lives in the comfort and familiarity of their homes and to inspire our caregivers with appreciation industryleading training and a true commitment to their wellbeing

we are seeking caregivers that can drive to join our independently owned and operated national agency

we have clients needing care in the following areas bloomfield clifton woodland park east orange montclair glen ridge lyndhurst kearny jersey city rutherford passaic north arlington east rutherford north bergen secaucus carlstadt belleville nutley hudson county bergenfield paramus river edge new milford westwood dumont ridgewood teaneck glen rock hackensack tenafly maywood hillsdale

synergy homecare offers
 supportive team environment
 competitive pay with direct deposit
 paid orientation and ongoing training
 timeandahalf pay for overtime and holidays
 flexible schedules and matching caregivers with nearby clients
 employee recognition programs

as a caregiver with synergy homecare you will
 provide attention to clients nonmedical needs including companionship and social engagement
 assist client with light housekeeping meal preparation and medication reminders
 establish communication and a professional relationship with clients family members and coworkers
 provide reliable care by being punctual and consistently covering shifts

qualifications  requirements
 have or acquire cprfirst aid certification
 evidence of a negative tuberculosis tb test
 national background check
 a valid drivers license proof of car insuranceregistration and a reliable car if you drive

email your resume today to cliftonjobssynergyhomecarecom",Astonishing Homecare Drivers,1934," {
  ""Core Responsibilities"": ""Provide attention to clients' nonmedical needs including companionship and social engagement. Assist client with light housekeeping, meal preparation and medication reminders. Establish communication and a professional relationship with clients, family members and coworkers. Provide reliable care by being punctual and consistently covering shifts."",
  ""Required Skills"": ""Valid driver's license, proof of car insurance/registration and a reliable car if you drive. CPR/First Aid certification. Negative TB test. Ability to pass background check."",  
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""N/A"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""Competitive pay with direct deposit, paid orientation and ongoing training, time-and-a-half pay for overtime and holidays, flexible schedules and matching caregivers with nearby clients, employee recognition programs.""
}"
ClearanceJobs,"tci has an immediate need for several c embedded software engineers in clifton nj this is not a  opportunity  this is a longterm contract opportunity with the probability of hire in addition to competitive marketrate based pay tci provides all our consultants with comprehensive medicaldental insurance  life insurance and longterm disability benefits this position requires a secret security clearance or an interim secret clearance prior to start seeking local candidates only no remote work available summary the software engineer is responsible for research design and development of computer software systems in conjunction with hardware product development responsibilities
 responsible for the design and development of software products for a variety software application
 participates in all phases of the software development life cycle including requirements analysis design implementation integration and test of software products
 applies computer science engineering and mathematical analysis concepts and principles in the development of software for the target application
 works closely with cross functional members of the engineering organization to develop and evaluate interfaces between hardware and software and operational performance requirements and design of the overall system
 develops software test procedures software programs and related documentation
 contributes to determining estimating and validating the cost and scope of software efforts to ensure software performed meets program cost schedule and technical constraints requirements
  years of embedded software engineering experience
  years experience with c andor ada
  years real time operating systems experience
 ability to manage large complex project initiatives with minimal oversight or direction
 babs in computer science electrical engineering or related engineering field
 must currently possess or have the ability to obtain a secret security clearance prior to start tci will assist desired highly preferred
 ew background
 capable of working on both high and lowlevel software
 vxworks or similar embedded os experience
 uml design experience experienced nonmanager exempt application instructions please click on the link below to apply for this position a new window will open and direct you to apply at our corporate careers page we look forward to hearing from you",C++ Embedded Engineer with Security Clearance,2374," {
  ""Core Responsibilities"": ""Responsible for the design and development of software products for a variety software application. Participates in all phases of the software development life cycle including requirements analysis, design, implementation, integration and test of software products. Works closely with cross functional members of the engineering organization to develop and evaluate interfaces between hardware and software and operational performance requirements and design of the overall system."",
  ""Required Skills"": ""2+ years of embedded software engineering experience. 2+ years experience with C and/or Ada. 2+ years real time operating systems experience."",  
  ""Educational Requirements"": ""B.S. in computer science, electrical engineering or related engineering field."",
  ""Experience Level"": ""N/A"",
  ""Preferred Qualifications"": ""EW background. Capable of working on both high and low-level software. VxWorks or similar embedded OS experience. UML design experience."",
  ""Compensation and Benefits"": ""N/A""
}"
Randstad Technologies,"job summary

randstad federal

we have over a decade of experience providing talent with clearance and workforce solutions that drive bottomline value for federal agencies and the organizations that serve them learn more about what we do meet our experienced team and get an inside look at the strategic partnerships that set us apart

lets talk about the role

location cliffton nj

remote capabilities no

clearance required secret

job summary responsible for research design and development of computer software systems in conjunction with hardware product development primarily responsible for the design and development of software products for a variety software applications participates in all phases of the software development life cycle including requirements analysis design implementation integration and test of software products

location clifton new jersey

job type contract

salary    per hour

work hours  to 

education bachelors

responsibilities

responsible for research design and development of computer software systems in conjunction with hardware product development primarily responsible for the design and development of software products for a variety software applications participates in all phases of the software development life cycle including requirements analysis design implementation integration and test of software products applies computer science engineering and mathematical analysis concepts and principles in the development of software for the target application works closely with cross functional members of the engineering organization to develop and evaluate interfaces between hardware and software and operational performance requirements and design of the overall system develops software test procedures software programs and related documentation contributes to determining estimating and validating the cost and scope of software efforts to ensure software performed meets program cost schedule and technical constraints

qualifications
 experience level experienced
 minimum  years of experience
 education bachelors

skills
 cad
 jira
 ada
 c
 uml
 jenkins
 bit bucket

equal opportunity employer race color religion sex sexual orientation gender identity national origin age genetic information disability protected veteran status or any other legally protected group status

at randstad we welcome people of all abilities and want to ensure that our hiring and interview process meets the needs of all applicants if you require a reasonable accommodation to make your application or interview experience a great one please contact 

for certain assignments covid vaccination andor testing may be required by randstads client or applicable federal mandate subject to approved medical or religious accommodations carefully review the job posting for details on vaccinetesting requirements or ask your randstad representative for more information
 provided by dice",Software Engineering,2925," {
  ""Core Responsibilities"": ""responsible for research design and development of computer software systems in conjunction with hardware product development primarily responsible for the design and development of software products for a variety software applications participates in all phases of the software development life cycle including requirements analysis design implementation integration and test of software products"",
  ""Required Skills"": ""cad, jira, ada, c, uml, jenkins, bit bucket"",
  ""Educational Requirements"": ""Bachelors"", 
  ""Experience Level"": ""Minimum 3 years of experience"",
  ""Preferred Qualifications"": ""N/A"",
  ""Compensation and Benefits"": ""N/A""
}"
Provident Bank,"how would you like to join a successful and growing multibillion dollar bank with branches in new jersey and eastern pennsylvania provident bank is looking for a talented banking center supervisor to work in our clifton new jersey branch to promote our commitment to providing exceptional customer service

qualified candidate must possess excellent sales customer service and people skills prior retail experience preferred

with your commitment in the banking center supervisor role provident bank can help you advance in your career and climb the ladder of success

position summary

the banking center supervisor provides exceptional customer sales and service while attending to customers needs the bcs creates and fosters a cohesive team and promotes a positive work environment while overseeing the bank associates who perform both routine financial transactions andor customer service functions the bcs may cover multiple branches within the region they will assist tellers with more complex tasks and schedules the work flow and demonstrate sound judgment and accountability with operational standards they will provide leadership conflict resolution process improvement and communication to the bank associates responsible for performing audit functions participates in daily branch opening and closing procedures and required to perform operational tasks coaching and performance management in the absence of the banking center manager the bcs will be responsible for the overall branch management including but not limited to operations sales management and productivity

major job responsibilities 

the banking center supervisors duties and responsibilities listed below are categorized into  general areas  sales service and operations

sales
 meet customer sales referrals and crossselling goals knows the features and benefits of all products and services to satisfy the needs of the customers
 responsible for managing and growing a bookofbusiness
 actively refers clients for commercial business to market manager
 service
 promotes bank products refer or resolve customer inquiries concerning accounts or other banking services
 helps maintain cost efficiency to achieve goals of the branch assures quality of customer service and adherence to sales and brand standards
 supplements general platform sales and service responsibilities as required
 resolves customer inquiriescomplaints and situations in a positive professional and efficient manner
 operations
 establishes customer identity according to established guidelines and adheres to all other compliance procedures
 daily weekly scheduling and coordination of workflow
 assists with completing performance reviews of bank associates
 assists with training planning assigning and disciplining employees in the branch
 may perform other duties as requested

supervisory responsibilities
 supervise bank associates

skills
 good interpersonal skills including listening written and verbal communication
 ability to work with a wide variety of personalities in a courteous and professional manner
 solid math and analytical skills
 ability to understand and follow safety and security practices
 strong relationship building skills
 proven ability to build relationships through consultative conversations and to identify customer needs and translate those needs to sales opportunities
 strong customer serviceadvocacy skills
 good organizational and time management skills
 good pc skills and the ability to quickly learn other computer programs including microsoft office
 ability to evaluate others on their performance
 ability to effectively coach develop and manage staff performance

education
 high school diploma or ged

work experience
  years retail banking experience
 supervisory experience preferred

licenses andor certificates
 none

working conditions

work is mainly performed under general office conditions in a retailbanking establishment must be willing and able to work required overtime must be willing and able to travel to other locationsbranches must be flexible and demonstrate the ability to adapt to new job locations and reassignments as directed

hazards

those present in a retailbanking establishment in the course of working with customers the employee may encounter abusive aggressive or unpredicted threatening behavior must observe safety and security practices at the branch

this job description may not be allinclusive employees are expected to perform other duties as assigned and directed by management job descriptions and duties may be modified when deemed appropriate by management

we are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to age  and over color disability gender identity genetic information military or veteran status national origin race religion sex sexual orientation or any other applicable status protected by state or local law",Banking Center Supervisor,4940," {
  ""Core Responsibilities"": ""Meet customer sales referrals and cross-selling goals. Promotes bank products, refer or resolve customer inquiries. Helps maintain cost efficiency to achieve goals of the branch. Assures quality of customer service and adherence to sales and brand standards. Performs audits. Participates in daily branch opening and closing procedures. Assists with training, assigning and disciplining employees in the branch."",
  ""Required Skills"": ""Good interpersonal, written and verbal communication skills. Solid math and analytical skills. Ability to understand and follow safety and security practices. Proven ability to identify customer needs and translate to sales opportunities. Strong customer service skills. Good organizational and time management skills. Proficiency in Microsoft Office."", 
  ""Educational Requirements"": ""High school diploma or GED"",
  ""Experience Level"": ""2 years retail banking experience"",
  ""Preferred Qualifications"": ""Supervisory experience preferred"",
  ""Compensation and Benefits"": ""N/A""
}"
Digital Performance Marketing Group,"butler is known for consistently exceeding customer expectations our top  customers have averaged more than  years of service by butler which is a testament to our quality and high standards we are well positioned to take advantage of industry growth and to leverage our domain expertise

our mission is

to be a highly respected solutions provider by capitalizing on our domain expertise and entrusting our employees to deliver exceptional value for our customers and stakeholders

our client is one of the top ten exchange carriers in the us we have a requirement for

job title application development

location clifton nj 

duration  months contract

job description
 must have real time operating systems experience
 experience with c andor ada

qualifications
 bachelors degree in computer science electrical engineering or related engineering field
  years of embedded software engineering experience
  years experience with c andor ada
  years real time operating systems experience

preferred additional skills
 ew background
 capable of working on both high and low level software
 vxworks or similar embedded os experience
 uml design experience

job duties
 responsible for research design and development of computer software systems in conjunction with hardware product development
 primarily responsible for the design and development of software products for a variety of software applications participates in all phases of the software development life cycle including requirements analysis design implementation integration and test of software products
 applies computer science engineering and mathematical analysis concepts and principles in the development of the target application
 works closely with cross functional members of the engineering organization to develop and evaluate interfaces between hardware and software and operational performance requirements and design of the overall system develops software test procedures software programs and related documentation
 contributes to determining estimating and validating the cost and scope of software efforts to ensure product meets project cost schedule and technical constraints
 recognized as an internal expert and thought leader in area of expertise with broad experience across multiple job areas
 works under consultative direction against annual goals to manage large complex project initiatives of strategic importance to the organization
 communicates within and outside of the organization to influence leadership to accept new practices approaches and concepts
 develops or champions new systems concepts or technologies
 recommends tactics and strategies that directly impact the achievement of overall business or functional results

please respond with resumes in word format to janita at jkewalramanibutlercom for immediate consideration

butler america aerospace llc is proud to provide an equal opportunity workplace and be an affirmative action employer consider butler because we are committed to hiring and retaining a diverse workforce we recognize that we thrive on diversity for the benefit of our employees our customers and the communities where we are located employment with butler america aerospace llc is governed on the basis of qualifications and competence without regard to race color religion gender national origin ethnicity veteran status disability status age sexual orientation gender identity gender expression marital status mental or physical disability or any other legally protected status",Application Development -L6,3516," {
  ""Core Responsibilities"": ""Responsible for research, design and development of computer software systems in conjunction with hardware product development. Primarily responsible for the design and development of software products for a variety of software applications, participates in all phases of the software development life cycle including requirements analysis, design, implementation, integration and test of software products."",
  ""Required Skills"": ""Bachelor's degree in computer science, electrical engineering or related engineering field. 2+ years of embedded software engineering experience. 2+ years experience with C and/or Ada. 2+ years real time operating systems experience."",  
  ""Educational Requirements"": ""Bachelor's degree in computer science, electrical engineering or related engineering field"",
  ""Experience Level"": ""2+ years of embedded software engineering experience"",
  ""Preferred Qualifications"": ""EW background. Capable of working on both high and low level software. VxWorks or similar embedded OS experience. UML design experience."",
  ""Compensation and Benefits"": ""N/A""
}"
Build Zoom,"full job description

buildzoom is modernizing the  trillion remodeling and construction industry we guide clients through mediumtolarge residential and light commercial projects to help them turn vision into physical reality our platform ensures accountability and transparency throughout the process enabling us to deliver great outcomes in a historically challenging industry
billions of dollars of construction activity flow through buildzoom but we are only scratching the surface and were still a very small team as the primary product manager you will get to wear multiple hats to drive impactful results

a typical week might look like this

collaborate with a uiux designer and an engineer to design an elegant costeffective solutionengage with our finance operations and sales leaders to understand their challenges and turn opportunities into product specsdefine kpis build analytics dashboards identify opportunities and measure the impact of your solutionsbrainstorm with the founders and cto on actionable items in pursuit of buildzooms visionwe operate in a fastpaced dynamic and mostly remote environment youll need to come equipped with the motivation talent and experience to make an outsized impact

 years of experience in a product roleexcellent written and verbal communicationexperience creating highfidelity specs and documentationexperience achieving business outcomes through user centered designemotional intelligence and the ability to build consensusquantitative acuity the skills to interpret complex data and translate insight into actioncontagious energy to inspire those around you in pursuit of successprior exposure to marketplaces or constructionwhy join buildzoom

your work will have the potential to impact almost two million monthly users  that user base is only growingdesign software to help property owners and construction companies build spaces for life work and playlead a pivotal part of our business while working directly with the companys leadership and in doing so further hone your entrepreneurial skillshelp to build a company with the potential to influence an enormous market and positively impact millions of people and businessescollaborate with dynamic and passionate peers across the company who will challenge and stimulate you every dayabout buildzoom

were a data company at heart ingesting vast volumes of construction and real estate data to gain deep insight into the construction marketplace our bleedingedge data ingestion framework is helping us accumulate the most complete and timely data sets in the industry on top of that wealth of data were building analytics capabilities and a recommendations engine that will redefine the industry were also building sophisticated ux workflows to support power users that include project owners contractors and construction engineers
_
salary range    
applicants have rights under federal employment laws
if a disability prevents you from applying for a job through our website please contact careersbuildzoomcom
job type fulltime
pay    per year",Project Manager,3057," {
  ""Core Responsibilities"": ""Design solutions and features, create specs and documentation, analyze data to identify opportunities, measure impact of new features"",
  ""Required Skills"": ""2+ years product management experience, excellent communication skills, user-centered design skills, ability to interpret data and translate insights into action"", 
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""2+ years in a product role"",
  ""Preferred Qualifications"": ""Experience with marketplaces or construction"",
  ""Compensation and Benefits"": ""$120,000 - $150,000 per year salary range""
}"
 Johnson Creek Development,"full job description 

commercial construction manager 
johnson creek development is actively seeking a commercial construction manager the selected candidate will manage the overall construction of commercial projects and will supervise a team of subordinates subcontractors and suppliers johnson creek development embraces those with entrepreneurial instincts and forwardthinking views we reward our employees who acquire new clients propose new forms of revenue recruit new high performing team members and explore cutting edge business ventures within the commercial realestate construction market our working environment is fast paced and performance expectations are high however we recognize the importance of family and a healthy balance between our employees personal and professional life 

mandatory requirements
bs in engineering construction management or related discipline preferredhs diplomaged  plus years of experience requiredosha  certifiedexperience managing and estimating commercial projects from  to  with managing union personnelavailability to travel to jobsites in the champaignurbana areaexperience in preconstruction tasks post construction tasks managing change orders and building schedulesability to write and comprehend rfis potential change orders project schedules week outlooks and other project documentsability to utilize microsoft office suite and adobeability to clearly communicate to office owner and subcontractors
primary responsibilities
provide leadership for multiple aspects of controls including costs planning scheduling engineering supervision and management of personnelsupervise project start up project management and entire closeout processmanage submittals rfis qc and punchlist  establish and maintain customer relationshipsaccurate scheduling for job completionconstruction site oversight with weekly site visitsprepare  enforce quality assurance safety and quality control planscoordinate with safety manager to ensure projects meet safety day performance observance period from start datemust be able to work in a multipleproject environmentestablish project objectives policies procedures performance and quality standards within boundaries of company policy and contract specificationsinvestigate potentially serious situations anticipate project delays monitor job site safety and implement corrective measuresprovide daily update progress reports
benefits
this is a negotiable salary positionpaid holidaysmedical dental and visionvehicle provided or reimbursement provided for personal vehicle use for company businesselectronics providedjob type fulltime
pay    per year
benefits
dental insurancehealth insurancevision insuranceschedule
 hour shiftexperience
project management  years preferredwork location remote


",Commercial Construction Manager,2782," {
  ""Core Responsibilities"": ""Manage all aspects of commercial construction projects including costs, planning, scheduling, engineering, supervision of personnel, and quality control. Conduct site visits and ensure safety standards are met."",
  ""Required Skills"": ""BS in engineering, construction management or related field. 5+ years experience managing and estimating commercial projects. OSHA certification. Microsoft Office and Adobe proficiency."",  
  ""Educational Requirements"": ""Bachelor's degree required, preferably in engineering, construction management or related field."",
  ""Experience Level"": ""5+ years of experience managing commercial construction projects required."",
  ""Preferred Qualifications"": ""Experience managing union personnel and projects in the Champaign-Urbana area."",
  ""Compensation and Benefits"": ""Negotiable salary. Company vehicle or reimbursement for personal vehicle use. Paid holidays, medical, dental, vision benefits.""
}"
DeliverHealth,"overview

are you an enthusiastic proactive corporate recruiter looking to make a fulfilling and rewarding career move do you want to be part of a company that makes a difference in peoples lives if youre ready for a role that energizes you then we should get to know each other

deliverhealth is an international healthcare software  services company with a vision of simplifying the complexities of healthcare our interconnected solutions help our customers solve systemic issues they face everyday join our team as we make an impact in the lives of healthcare providers and their patients by giving them back time and reducing administrative and technical burden were looking for an experienced talent sourcer to help us find high caliber candidates with the right combination of functional excellence motivation and strategic thinking as we grow our business just like we work to deploy the exact right solution for our clients depending on their goals objectives and current process you will help us find the best talent for each role to make our vision a reality

this is a new position and you have the opportunity to make it your own the ideal candidate will help us redesign our recruiting process from start to finish keeping the candidate experience in mind you will be an advocate for applicants building relationships by instilling trust and honesty you are passionate about diversity and inclusion and want to help us build a workforce that reflects the communities we serve youre not afraid to think outside the box for new leads and you know how to find and attract both active and passive talent most of all you are authentic and empathetic understanding that people are the core of everything we do

deliverhealth celebrates diversity and is proud to be an equal employment opportunity and affirmative action workplace we consider all qualified applicants without regard to race color religion sex including pregnancy sexual orientation gender identity or expression national origin military and veteran status disability genetics or any other category protected by law or company policy if you need an accommodation because of a disability for any part of the employment process please call   and let us know

deliverhealth requires covid vaccination for all employees working in our office locations or traveling on behalf of the company proof of vaccination will be required as part of the hiring process all offers of employment are contingent up a successful background check deliverhealth will review any convictions to determine whether they are substantially related to the job

responsibilities
 represent deliverhealths brand culture and values as the first point of contact for most applicants
 source candidates using a variety of search methods to build a robust candidate pipeline
 design and manage a positive candidate experience
 screen candidates by reviewing resumes and job applications and performing phone screenings
 partner with hiring managers to understand business objectives and align recruitment efforts to support key competencies and skills needed
 facilitate the interview process with hiring managers
 assist managers in developing compelling offers within our compensation philosophy and position budgets
 facilitate the offer process by extending the offer and negotiating employment terms
 support development and delivery of training resources and tools that empower hiring managers to make optimal hiring decisions
 partner with the people team on broader talent management practices such as succession planning internal talent mobility retention and engagement
 stay abreast of recruiting trends and best practices while ensuring that all screening hiring and selection is done in accordance with employment laws and regulations
 lead andor participate in special projects such as formalizing an internship program or creating a college coop program
 collaborate on diversity equity and inclusion efforts

qualifications
  years of recruiting experience technical recruiting experience preferred
 experience leveraging the capabilities of applicant tracking systems ats icims is a plus
 ability to source passive candidates in addition to active job seekers
 strong project management skills with ability to manage multiple projects
 excellent communication and interpersonal skills
 strong networking skills both internally and externally including on platforms like linkedin
 demonstrates customer focus intellectual curiosity and initiative
 prior experience developing talent acquisition strategies for multiple functions and at all organization levels strongly preferred",Corporate Recruiter (Remote),4632," {
  ""Core Responsibilities"": ""Source candidates using a variety of search methods to build a robust candidate pipeline. Design and manage a positive candidate experience. Screen candidates by reviewing resumes and job applications and performing phone screenings. Partner with hiring managers to understand business objectives and align recruitment efforts to support key competencies and skills needed. Facilitate the interview process with hiring managers. Assist managers in developing compelling offers within our compensation philosophy and position budgets. Facilitate the offer process by extending the offer and negotiating employment terms."",
  ""Required Skills"": ""2+ years of recruiting experience, technical recruiting experience preferred. Experience leveraging the capabilities of applicant tracking systems (ATS), ICIMS is a plus. Ability to source passive candidates in addition to active job seekers. Strong project management skills with ability to manage multiple projects. Excellent communication and interpersonal skills. Strong networking skills both internally and externally including on platforms like LinkedIn."",  
  ""Educational Requirements"": ""N/A"",
  ""Experience Level"": ""2+ years of recruiting experience"",
  ""Preferred Qualifications"": ""Technical recruiting experience preferred. Prior experience developing talent acquisition strategies for multiple functions and at all organization levels strongly preferred."",
  ""Compensation and Benefits"": ""N/A""
}"
